munic_mov_ibge,internacoes_covid,obitos_covid,taxa_obito_covid
355030,94790,22398,23.63
354780,13142,2468,18.78
350950,12803,2871,22.42
354980,12255,3066,25.02
354870,9523,1938,20.35
353060,7458,1817,24.36
353440,7400,1722,23.27
351880,6884,2480,36.03
355220,6774,2260,33.36
354340,6695,1878,28.05
354850,6592,1533,23.26
350600,5504,976,17.73
351050,5250,481,9.16
350570,5249,1163,22.16
354990,4719,1783,37.78
352590,4439,1393,31.38
354140,4345,853,19.63
352900,4204,1021,24.29
354880,4116,629,15.28
354100,3424,856,25.0
