competencia,registros
2020-01,215766
2020-02,205588
2020-03,208684
2020-04,158154
2020-05,163154
2020-06,172034
2020-07,186658
2020-08,184527
2020-09,190926
2020-10,196014
2020-11,195262
2020-12,188128
2021-01,195978
2021-02,191120
2021-03,199489
2021-04,192501
2021-05,202051
2021-06,201017
2021-07,200591
2021-08,201312
2021-09,196878
2021-10,195013
2021-11,197590
2021-12,203150
2022-01,199070
2022-02,191763
2022-03,214984
2022-04,205573
2022-05,206283
2022-06,210807
2022-07,220407
2022-08,220379
2022-09,221328
2022-10,220173
2022-11,213602
2022-12,211850
2023-01,210225
2023-02,202499
2023-03,233649
2023-04,218158
2023-05,229386
2023-06,232263
2023-07,227183
2023-08,237476
2023-09,223515
2023-10,224391
2023-11,218054
2023-12,217339
