ano_mes,internacoes_total,internacoes_covid,internacoes_outros,obitos_total,obitos_covid,obitos_outros,taxa_obito_total,taxa_obito_covid,taxa_obito_outros
2020-01-01,217439,0,217439,10695,0,10695,4.92,,4.92
2020-02-01,199806,4,199802,9687,2,9685,4.85,50.0,4.85
2020-03-01,194919,364,194555,10892,124,10768,5.59,34.07,5.53
2020-04-01,146399,8020,138379,11726,2112,9614,8.01,26.33,6.95
2020-05-01,164391,16881,147510,13762,3833,9929,8.37,22.71,6.73
2020-06-01,170799,18960,151839,13748,4234,9514,8.05,22.33,6.27
2020-07-01,184045,20819,163226,14545,4523,10022,7.9,21.73,6.14
2020-08-01,185828,16221,169607,13734,3449,10285,7.39,21.26,6.06
2020-09-01,190357,11334,179023,12268,2328,9940,6.44,20.54,5.55
2020-10-01,196051,8592,187459,12125,1607,10518,6.18,18.7,5.61
2020-11-01,193568,9428,184140,11387,1780,9607,5.88,18.88,5.22
2020-12-01,186463,14762,171701,12568,2877,9691,6.74,19.49,5.64
2021-01-01,194504,19237,175267,14252,4146,10106,7.33,21.55,5.77
2021-02-01,183960,19665,164295,13522,4380,9142,7.35,22.27,5.56
2021-03-01,208341,45180,163161,22911,13163,9748,11.0,29.13,5.97
2021-04-01,186935,39602,147333,19746,10444,9302,10.56,26.37,6.31
2021-05-01,205340,40929,164411,19870,9628,10242,9.68,23.52,6.23
2021-06-01,198392,38295,160097,18427,8424,10003,9.29,22.0,6.25
2021-07-01,192280,20747,171533,15211,4113,11098,7.91,19.82,6.47
2021-08-01,198491,10410,188081,13125,2137,10988,6.61,20.53,5.84
2021-09-01,192681,6304,186377,11566,1374,10192,6.0,21.8,5.47
2021-10-01,192811,3923,188888,11181,815,10366,5.8,20.77,5.49
2021-11-01,196231,2308,193923,10803,469,10334,5.51,20.32,5.33
2021-12-01,196473,2743,193730,11780,499,11281,6.0,18.19,5.82
2022-01-01,200900,14118,186782,15720,3581,12139,7.82,25.36,6.5
2022-02-01,184505,7974,176531,11665,2074,9591,6.32,26.01,5.43
2022-03-01,213587,1638,211949,10781,355,10426,5.05,21.67,4.92
2022-04-01,201732,808,200924,10509,111,10398,5.21,13.74,5.18
2022-05-01,216860,1474,215386,11880,210,11670,5.48,14.25,5.42
2022-06-01,206675,2087,204588,11968,400,11568,5.79,19.17,5.65
2022-07-01,210353,1715,208638,11877,312,11565,5.65,18.19,5.54
2022-08-01,221742,512,221230,11834,86,11748,5.34,16.8,5.31
2022-09-01,211285,188,211097,11150,34,11116,5.28,18.09,5.27
2022-10-01,214086,215,213871,11245,29,11216,5.25,13.49,5.24
2022-11-01,208237,1214,207023,10932,203,10729,5.25,16.72,5.18
2022-12-01,201014,1213,199801,10884,206,10678,5.41,16.98,5.34
2023-01-01,214017,657,213360,11091,113,10978,5.18,17.2,5.15
2023-02-01,199754,540,199214,9794,77,9717,4.9,14.26,4.88
2023-03-01,235729,694,235035,11634,113,11521,4.94,16.28,4.9
2023-04-01,214511,308,214203,11140,58,11082,5.19,18.83,5.17
2023-05-01,234636,194,234442,12296,38,12258,5.24,19.59,5.23
2023-06-01,221881,75,221806,12484,11,12473,5.63,14.67,5.62
2023-07-01,221624,68,221556,12284,7,12277,5.54,10.29,5.54
2023-08-01,232197,104,232093,11703,16,11687,5.04,15.38,5.04
2023-09-01,214632,191,214441,11216,20,11196,5.23,10.47,5.22
2023-10-01,212391,320,212071,10417,26,10391,4.9,8.12,4.9
2023-11-01,190347,195,190152,10194,25,10169,5.36,12.82,5.35
2023-12-01,140662,42,140620,5871,5,5866,4.17,11.9,4.17
